published_date,list_name,list_name_encoded,rank,title,author,description,weeks_on_list
8/5/12,Hardcover Nonfiction,hardcover-nonfiction,1,Wild,Cheryl Strayed,"A woman's account of a life-changing 1,100-mile hike along the Pacific Crest Trail.",14
8/5/12,Hardcover Nonfiction,hardcover-nonfiction,2,Unbroken,Laura Hillenbrand,An Olympic runner's story of survival as a prisoner of the Japanese in World War II.,88
8/5/12,Hardcover Nonfiction,hardcover-nonfiction,3,Amateur,Edward Klein,A journalist argues that President Obama is callow and unable to lead.,10
8/5/12,Hardcover Nonfiction,hardcover-nonfiction,4,Killing Lincoln,Bill O'Reilly + Martin Dugard,"The host of ""The O'Reilly Factor"" recounts the events surrounding the assassination of Abraham Lincoln.",43
8/5/12,Hardcover Nonfiction,hardcover-nonfiction,5,Dream Team,Jack McCallum,The 1992 U.S. men’s Olympic basketball team.,2
8/12/12,Hardcover Nonfiction,hardcover-nonfiction,1,Wild,Cheryl Strayed,"A woman's account of a life-changing 1,100-mile hike along the Pacific Crest Trail.",15
8/12/12,Hardcover Nonfiction,hardcover-nonfiction,2,Unbroken,Laura Hillenbrand,An Olympic runner's story of survival as a prisoner of the Japanese in World War II.,89
8/12/12,Hardcover Nonfiction,hardcover-nonfiction,3,Killing Lincoln,Bill O'Reilly + Martin Dugard,"The host of ""The O'Reilly Factor"" recounts the events surrounding the assassination of Abraham Lincoln.",44
8/12/12,Hardcover Nonfiction,hardcover-nonfiction,4,Amateur,Edward Klein,A journalist argues that President Obama is unable to lead.,11
8/12/12,Hardcover Nonfiction,hardcover-nonfiction,5,Steve Jobs,Walter Isaacson,"A biography of the visionary entrepreneur, who died in 2011.",39
8/19/12,Hardcover Nonfiction,hardcover-nonfiction,1,Wild,Cheryl Strayed,"A woman's account of a life-changing 1,100-mile hike along the Pacific Crest Trail.",16
8/19/12,Hardcover Nonfiction,hardcover-nonfiction,2,Unbroken,Laura Hillenbrand,An Olympic runner's story of survival as a prisoner of the Japanese in World War II.,90
8/19/12,Hardcover Nonfiction,hardcover-nonfiction,3,Killing Lincoln,Bill O'Reilly + Martin Dugard,"The host of ""The O'Reilly Factor"" recounts the events surrounding the assassination of Abraham Lincoln.",45
8/19/12,Hardcover Nonfiction,hardcover-nonfiction,4,Double Cross,Ben Macintyre,How the Allies tricked the Nazis into believing that on D-Day they would attack somewhere other than Normandy.,1
8/19/12,Hardcover Nonfiction,hardcover-nonfiction,5,Amateur,Edward Klein,A journalist argues that President Obama is unable to lead.,12
8/26/12,Hardcover Nonfiction,hardcover-nonfiction,1,Wild,Cheryl Strayed,"A woman's account of a life-changing 1,100-mile hike along the Pacific Crest Trail.",17
8/26/12,Hardcover Nonfiction,hardcover-nonfiction,2,Amateur,Edward Klein,A journalist argues that President Obama is unable to lead.,13
8/26/12,Hardcover Nonfiction,hardcover-nonfiction,3,Unbroken,Laura Hillenbrand,An Olympic runner's story of survival as a prisoner of the Japanese in World War II after his bomber went down over the Pacific.,91
8/26/12,Hardcover Nonfiction,hardcover-nonfiction,4,Killing Lincoln,Bill O'Reilly + Martin Dugard,"The host of ""The O'Reilly Factor"" recounts the events surrounding the assassination of Abraham Lincoln.",46
